question,answer
"ببین کلا وقتی می خواهن چند تا ماژول رو بکنن پکیج میان با نام اون پکیج یک پوشه میزنن و داخلش فایل های زیرو میذارن 
یکی init 
ماژول ها 
یک فایل setup
یک فایل readme
و یک فایل requirements
فایل اینیت میاد نشون میده که این دایرکتوری باید یک پکیج در نظر گرفته بشه که خالی هم میتونه باشه 
کنار این، فایل ماژول هایی که نوشتین رو بذارین 
داخل فایل setup باید اسم نسخه توضیحات و اینطور چیزا بذارین
داخل فایل readme توضیحات پکیج و داخل فایل requirements هم نیازمندی های پکیجتون رو مینویسین اگر وجود داره","توی فایل init بهتره ماژولاشو ایمپورت کنه 
برای اپلودش توی pypi 
پیش میاد که همه فایلا اپلود نشده باشن بخاطر امپورت نشدن توی init"
"2 تا برنامه خیلی ساده نوشتم
هر کدوم یه func داخلشون هست
بعد با این 2 تا func برنامه یه برنامه جدید نوشتم

حالا میخوام کلش رو یک پکیج کنم ( که یک فایل __init__.py لازم داره) 
ولی نتونستم تا الان",یعنی جور نیست که نتونین چون چند تا فایل رو می خواهد کنار هم بذارین، برای همین اگر منظورتون چیز دیگه ای هست بگید که توضیح بدم
"2 تا برنامه خیلی ساده نوشتم
هر کدوم یه func داخلشون هست
بعد با این 2 تا func برنامه یه برنامه جدید نوشتم

حالا میخوام کلش رو یک پکیج کنم ( که یک فایل __init__.py لازم داره) 
ولی نتونستم تا الان","ببین کلا وقتی می خواهن چند تا ماژول رو بکنن پکیج میان با نام اون پکیج یک پوشه میزنن و داخلش فایل های زیرو میذارن 
یکی init 
ماژول ها 
یک فایل setup
یک فایل readme
و یک فایل requirements
فایل اینیت میاد نشون میده که این دایرکتوری باید یک پکیج در نظر گرفته بشه که خالی هم میتونه باشه 
کنار این، فایل ماژول هایی که نوشتین رو بذارین 
داخل فایل setup باید اسم نسخه توضیحات و اینطور چیزا بذارین
داخل فایل readme توضیحات پکیج و داخل فایل requirements هم نیازمندی های پکیجتون رو مینویسین اگر وجود داره"
منظورتون از تبدیل کردن به پکیج چیه؟,"2 تا برنامه خیلی ساده نوشتم
هر کدوم یه func داخلشون هست
بعد با این 2 تا func برنامه یه برنامه جدید نوشتم

حالا میخوام کلش رو یک پکیج کنم ( که یک فایل __init__.py لازم داره) 
ولی نتونستم تا الان"
"من چند تا ماژول ساختم و میخوام به پکیج تبدیلشون کنم 
تا الان نتونستم
کسی میتونه کمک کنه؟",منظورتون از تبدیل کردن به پکیج چیه؟
کدیاد,سایت کدیار
دوستان کسی دوره رایگان پایتون داره بفرست برام,کدیاد
"همین گروه
یوتیوب داره ببین",صفر تا صد هست اموزش اش
چون هزینه ها بالا عه,😔😐
دوستان کسی دوره رایگان پایتون داره بفرست برام,"همین گروه
یوتیوب داره ببین"
😞😐😐چرا همه به فکر رایگانن,چون هزینه ها بالا عه
کسی سایت هاست رایگان سراغ داره؟,پارس پک
بهترین دوره ceh?,هک کلاه سفید رو میگن ceh?
بغیرازctrl+z برنامه بستم,"برنانه ببندی دیگه معمولا در دسترس نیست
کش اضافیو پاک میکنه"
کل کدی که داخل ویژال استدیو نوشتم وقتی انتخاب کردن بایک استپ پاک شد همش نمیتونم برگردونم کد هامو,ctrl + z
یا اصلا امکانش هست یا نه؟,"امکانش هست
ولی به صرفه نیست
برا یادگیری و شروع خوبه"
"سلام 
دوستان در زمان اجرای ربات تلگرام این ارور برام میاد به خاطر پروکسی هست که استفاده میکنم؟",فک نکنم ربطی داشته باشه
"سلام 
دوستان در زمان اجرای ربات تلگرام این ارور برام میاد به خاطر پروکسی هست که استفاده میکنم؟",اره
DDos😁,به دردم نمیخوره پول میخوام من
"لوکیشن کجان
چ دیتاسنترهایی هستن؟؟",امارات هستن همشون  و اینکه لینوکس هستن مدت هر سرور هم دوماهه
"حدود 100 تا سرور با این مشخصات دارم
 4 GB RAM • 2 vCPU

Total disk: 50 GB 

لینوکس هستن 

چیکار میتونم با اینا انجام بدم به نظرتون 

رفتم سراغ ماین ولی به درد نمیخوره",DDos😁
سلام دوستان اگه کسی دیتابیس لو رفته ی چیزی داره برام بفرسته میخام پروژه بمبی رو شروع کنم👍🚶‍♂,چی میخوای؟
سلام دوستان اگه کسی دیتابیس لو رفته ی چیزی داره برام بفرسته میخام پروژه بمبی رو شروع کنم👍🚶‍♂,"تو تلگرام بگردی اسم کانال هاشو جست‌جو کنی برای ایرانسل و ... هست

نسخه های اصلی البته نیست، برای اصلی ها باید بری بخری از اونایی که دارن
معمولا دارک وب رو باید بگردی"
"حدود 100 تا سرور با این مشخصات دارم
 4 GB RAM • 2 vCPU

Total disk: 50 GB 

لینوکس هستن 

چیکار میتونم با اینا انجام بدم به نظرتون 

رفتم سراغ ماین ولی به درد نمیخوره","لوکیشن کجان
چ دیتاسنترهایی هستن؟؟"
"نیازمند برنامه نویس پایتون هستیم . . .
اطلاعات بیشتر پیوی.",برای ارتقا سندر میخوایید؟؟
عذرخواهی میکنم 🙏اشتباه ارسال شده,"فدا سرت
ما اصلا حال نداشتیم بخونیم"
"نیازمند برنامه نویس پایتون هستیم . . .
اطلاعات بیشتر پیوی.",بفرمایید پیام بدید
😂,والا
ما آخه بیکاریم اومدیم اینجا,😂
گروه حل مشکله چ انتظاری داری,ما آخه بیکاریم اومدیم اینجا
پرنده پر نمیزنه,گروه حل مشکله چ انتظاری داری
خابین؟,🧑‍🦯
چرا خروجی کدم none?,"return jame 
رو وارد کنی درست میشه…"
چرا خروجی کدم none?,🧑‍🦯
چرا خروجی کدم none?,مقداری به return اختصاص ندادین
چرا خروجی کدم none?,جلوی return مقدار بنویس
"کسی هست راه حل تضمینی براش داشته باشه؟
@his_bye

لطفا بهم بگیدد

+ورودی اکسپلور پیج بن شده🤦‍♂
+ لایومم بن شده به مدت یکسال🤦‍♂","سایتش و مشخصات کامل توش هست 
من میخوام از داده ای جدید که از سنسور  لیدار گرفتم بجای داده قبلی استفادا کنم برای تست مدل را داده قبلی کاملا کار میکنه ولی برای داده های جدید پیچدگیهای زیادی هست"
لینک پاک میشه,جزئیات رو باید بدانم تا کمک کنم
"کسی هست راه حل تضمینی براش داشته باشه؟
@his_bye

لطفا بهم بگیدد

+ورودی اکسپلور پیج بن شده🤦‍♂
+ لایومم بن شده به مدت یکسال🤦‍♂",لینک پاک میشه
"سلام دوست من 
از چه دیتا بیسی، استفاده میکنی؟",nuscenes......org
"درود 
من احتیاج به کمک درمورد استفاده از یک دیتاست خاص دارم. 
میخوام اطلاعات جدیدم رو جایگزین قبلی کنم و ببینم مدلم تو تست جواب میده یا نه. 
دوستان کسی میتونه کمک کنه هزینه ام حاضرم پرداخت کنم.","سلام دوست من 
از چه دیتا بیسی، استفاده میکنی؟"
"کسی هست راه حل تضمینی براش داشته باشه؟
@his_bye

لطفا بهم بگیدد

+ورودی اکسپلور پیج بن شده🤦‍♂
+ لایومم بن شده به مدت یکسال🤦‍♂","درود 
من احتیاج به کمک درمورد استفاده از یک دیتاست خاص دارم. 
میخوام اطلاعات جدیدم رو جایگزین قبلی کنم و ببینم مدلم تو تست جواب میده یا نه. 
دوستان کسی میتونه کمک کنه هزینه ام حاضرم پرداخت کنم."
"کسی هست بتونه تو نصب کتابخانه ،
توضیحش کمکم کنه؟+",چه کتابخونه ای
نه,چرا
دوستان من یه فایل اندیکاتور دارم ‌کسی میتونه کمکم کنه non repanit کنم و تاخیری نداشته باشه توی non repanit ممنون میشم کسی کمکم کنه,نه
سلام,خسته نباشید
سلام,سلام
من دارمش ولی نمی‌دونم قدیمی باشه یا جدید,"اگرتوی تلگرامه نع
اگ خریدی بگو"
"اول باید یکسری مفاهیم پایه رو یاد بگیرین 
مثل اینکه سئو چیه، انواعش چیه، الگوریتم های گوگل چیه 
بعد باید کار کردن با ابزار ها رو یاد بگیرین مثل googls search console google analytics
بعد کم کم وارد مباحث تخصصی تر میشید مثل بهبود سرعت سایت، ساختار url، sitemap که به این سئو فنی هم میگن 
بعد هم سئو کانتنت یا همون محتوا که در مورد بهینه کردن تگ ها و lsi keyword و اینطور چیزاست",بسیار ممنونم
سلام کسی میاد دوره متخصص پایتون سون لرن رو اشتراکی بخریم؟یا کسی دوره رو داره؟,من دارمش ولی نمی‌دونم قدیمی باشه یا جدید
"ن 
خوبه؟",من دیدم خوب بوده
"چرا دوره ی اشتراکی؟
دوره ی استاد رامین سلجوقی یوتیوب رو دیدید؟","ن 
خوبه؟"
سلام کسی میاد دوره متخصص پایتون سون لرن رو اشتراکی بخریم؟یا کسی دوره رو داره؟,"چرا دوره ی اشتراکی؟
دوره ی استاد رامین سلجوقی یوتیوب رو دیدید؟"
سلام سرور رایگان بدرد بخور کسی سراغ داره چطور گیر بیاریم,"نمیدونم شاید باشه

داشتم فکر میکردم چرا یکی باید سرور رایگان بذاره
یاد آب سرد کن های کنار خیابون افتادم"
منم بازی,سلام دختری؟
تو ام سلام عزیزم,😂😂😂
منم بازی,تو ام سلام عزیزم
وقتی یه دختر وارد گروه میشه :,👀😂
سلام,سلام
سلام,وقتی یه دختر وارد گروه میشه :
,سلام
"به نظرم 
قضیه هوش مصنوعی مثل انقلاب صنعتیه 
کلی کار گر با اتومایز شدن کارا بی کار شدن
با اومدن دستگاه ها کلی ادم بی کار شدن

با ساخته شدن پمپ اب ، افرادی که با سطل اب رو جابجا میکردن بیکار شدن
چاه کش ها بیکار شدن

با اومدن دستگاه های قالی بافی 
دستگاه های نساجی
دستگاه های تولید انبوه
خیلی ها بیکار شدن 

ولی با اومدن دستگاه ها خیلی مشاغل بیشتری ایجاد شد 
مثلا ببینید چند نفر در جهان در صنعت حمل و نقل مشغولن (که هوش مصنوعی این حرفه رو هم تصرف میکنه)
ببینید قبلا ایا شغلی به نام مکانیک بود؟
ایا تعمیرات کامپیوتر و مبایل داشتیم؟


و حالا با اومدن هوش مصنوعی کلی مشاغل از بین میرن
ولی مشاغل جدیدی باهاش ساخته میشن 

یا باید منتظر موند و دید 
یا باید ادامه داد و شد کسی که اون شغل رو به وجود میاره
مثلا اگر موبایلی تولید نمیشد
تعمیرات موبایلی وجود نداشت


انقلاب صنعتی ، دستگاه هایی ساخته شدن که کار های تکراری انسان هارو انجام میداد ، دقیقا کاری که هوش مصنوعی میکنه...

حالا اگر کل انقلاب صنعتی رو توی به وجود اومدن دستگاه ها خلاصه کنیم
مشاغل ایجاد شده یا تعمیرات اون دستگاه ها بودن ، یا اوپراتور دستگاه ها ، یا تولید کننده دستگاه های جدید


هوش مصنوعی هم همینطور
هر مدلی یک سازنده ای داره
یک اوپراتوری نیاز داره 
و یک تعمیر کننده ای ...",بنظرم الان ورود به توسعه خودِ هوش مصنوعی بهتره ،ینی ماشین لرنینگ ،دیپ لرنینگ و....
سلام اگر بخام سئو کار بشم چکارکنم اول ؟,"اول باید یکسری مفاهیم پایه رو یاد بگیرین 
مثل اینکه سئو چیه، انواعش چیه، الگوریتم های گوگل چیه 
بعد باید کار کردن با ابزار ها رو یاد بگیرین مثل googls search console google analytics
بعد کم کم وارد مباحث تخصصی تر میشید مثل بهبود سرعت سایت، ساختار url، sitemap که به این سئو فنی هم میگن 
بعد هم سئو کانتنت یا همون محتوا که در مورد بهینه کردن تگ ها و lsi keyword و اینطور چیزاست"
"سلام دوستان ی پروژه درس هوش مصنوعی دارم تا اخر شب یکشنبه وقته با زبان پایتون باید نوشته شه هر کی میتونه انجام بده بیاد پیوی...راجب هزینه و اینا به توافق برسیم...
ممنون",Done
خیر,ما زدیم کرده شما بگو خیر
اوک میکنه,خیر
فایل هادرپایتون به مشکل برخوردم  فایل تشکیل میدم ولی هیچی داخلش نمینویسه متناسب باهمون روشی که داخل قسمت53 پایتون توضیح داده شده. کسی میتونه راهنماییم کنه,عکس بفرستین از کدتون
یعنی رایگان ¿,پی وی پیام بدید
"سلام و درود دوره های پایتون رو از پایه تا پیشرفته 
خریداری کرده ام کسی خواست پیام بده براش بفرستم",یعنی رایگان ¿
پادکست اخر جادی رو گوش بده,"حتما 
سپاس"
فایل هادرپایتون به مشکل برخوردم  فایل تشکیل میدم ولی هیچی داخلش نمینویسه متناسب باهمون روشی که داخل قسمت53 پایتون توضیح داده شده. کسی میتونه راهنماییم کنه,بیا شخصی
هیچ کمکی نمیکنه بیخوده,اوک میکنه
"کسی هست راه حل تضمینی براش داشته باشه؟
@his_bye

لطفا بهم بگیدد

+ورودی اکسپلور پیج بن شده🤦‍♂
+ لایومم بن شده به مدت یکسال🤦‍♂","بدونە دلیل بن نمی کنە 
علت رو پیدا کردی تیکت بزن با اون علت و بگو کە خیلی وقتە کە ادمین دارم و دست خودم نبودە و ادمینم رو اخراج کردم و حالا رمزم رو تغییر می دم و ...."
"🔴 بالاخره روزی که همه برنامه نویسا ازش میترسیدن رسید.

از هوش مصنوعی ای رونمایی شد که کافیه شما برنامه، سایت و... که میخوای رو براش توصیف کنی و در کمتر از چند ثانیه کد نویسی‌اش رو براتون انجام میده.
‌

و منی که دو ماهه 90 تومن لپ تاپ خریدم تا برنامه نویسی یاد بگیرم (: 💔",پادکست اخر جادی رو گوش بده
"🔴 بالاخره روزی که همه برنامه نویسا ازش میترسیدن رسید.

از هوش مصنوعی ای رونمایی شد که کافیه شما برنامه، سایت و... که میخوای رو براش توصیف کنی و در کمتر از چند ثانیه کد نویسی‌اش رو براتون انجام میده.
‌

و منی که دو ماهه 90 تومن لپ تاپ خریدم تا برنامه نویسی یاد بگیرم (: 💔","به نظرم 
قضیه هوش مصنوعی مثل انقلاب صنعتیه 
کلی کار گر با اتومایز شدن کارا بی کار شدن
با اومدن دستگاه ها کلی ادم بی کار شدن

با ساخته شدن پمپ اب ، افرادی که با سطل اب رو جابجا میکردن بیکار شدن
چاه کش ها بیکار شدن

با اومدن دستگاه های قالی بافی 
دستگاه های نساجی
دستگاه های تولید انبوه
خیلی ها بیکار شدن 

ولی با اومدن دستگاه ها خیلی مشاغل بیشتری ایجاد شد 
مثلا ببینید چند نفر در جهان در صنعت حمل و نقل مشغولن (که هوش مصنوعی این حرفه رو هم تصرف میکنه)
ببینید قبلا ایا شغلی به نام مکانیک بود؟
ایا تعمیرات کامپیوتر و مبایل داشتیم؟


و حالا با اومدن هوش مصنوعی کلی مشاغل از بین میرن
ولی مشاغل جدیدی باهاش ساخته میشن 

یا باید منتظر موند و دید 
یا باید ادامه داد و شد کسی که اون شغل رو به وجود میاره
مثلا اگر موبایلی تولید نمیشد
تعمیرات موبایلی وجود نداشت


انقلاب صنعتی ، دستگاه هایی ساخته شدن که کار های تکراری انسان هارو انجام میداد ، دقیقا کاری که هوش مصنوعی میکنه...

حالا اگر کل انقلاب صنعتی رو توی به وجود اومدن دستگاه ها خلاصه کنیم
مشاغل ایجاد شده یا تعمیرات اون دستگاه ها بودن ، یا اوپراتور دستگاه ها ، یا تولید کننده دستگاه های جدید


هوش مصنوعی هم همینطور
هر مدلی یک سازنده ای داره
یک اوپراتوری نیاز داره 
و یک تعمیر کننده ای ..."
"🔴 بالاخره روزی که همه برنامه نویسا ازش میترسیدن رسید.

از هوش مصنوعی ای رونمایی شد که کافیه شما برنامه، سایت و... که میخوای رو براش توصیف کنی و در کمتر از چند ثانیه کد نویسی‌اش رو براتون انجام میده.
‌

و منی که دو ماهه 90 تومن لپ تاپ خریدم تا برنامه نویسی یاد بگیرم (: 💔","استفاده از هوش مصنوعی نیاز به متخصص داره

مطمئن باش هیچ شرکت کوچیک یا بزرگی 
رئیسش نمیاد کار اصلیشو تعطیل کنه بشینه با هوش مصنوعی پرامت بزنه و هوش مصنوعی چیزیو بهش تحویل بده که طرف هیچی ازش سر در نمیاره!
و تازه هوش مصنوعی به این خوبی هم باید قیمت خوبی داشته باشه
بعد کد مداوم نیاز داره تا اپدیت بشه و باگ هاش رفع بشه

وددررکل هنوز  زوده هوش مصنوعی به این مرحله برسه
و در نهایتش توی چند سال آینده احتمال داره برنامه نویسای حرفه ای که کد های سطح بالا میزنن تعدادشون کمتر بشه
و برنامه نویسای حرفه ای که کد های سطح پایین میزنن تعدادشون بیشتر بشه"
"🔴 بالاخره روزی که همه برنامه نویسا ازش میترسیدن رسید.

از هوش مصنوعی ای رونمایی شد که کافیه شما برنامه، سایت و... که میخوای رو براش توصیف کنی و در کمتر از چند ثانیه کد نویسی‌اش رو براتون انجام میده.
‌

و منی که دو ماهه 90 تومن لپ تاپ خریدم تا برنامه نویسی یاد بگیرم (: 💔","توجه نکن 
اموزشت ببین"
"قبلا اس کیو ال کار کردم الان بخام چیزی بزنم باید یدور مرور کنم یکم زمان بره 
و البته که باید برای خودمم بصرفه 
برای همین میگم توی خود سایت سفارش ثبت کن
وقتتم گرفته نمیشه",چی بگم داداش
دادا نیست,"قبلا اس کیو ال کار کردم الان بخام چیزی بزنم باید یدور مرور کنم یکم زمان بره 
و البته که باید برای خودمم بصرفه 
برای همین میگم توی خود سایت سفارش ثبت کن
وقتتم گرفته نمیشه"
دادا نیست,"اینجا نیست
توی خود سایت کلی دولپر هست 
فقط یکم باید سر کیسه رو شل کنی"
"عزیز دل 
توی خود سایت مای ام کیو ال سفارشتو بده یکی برات بزنه
چند روزه منتظری؟",دادا نیست
سلام دوستام گسی اینجا کد نویسی mql بلد هست برای اندیکاتور کمکم کنه تشکر,"عزیز دل 
توی خود سایت مای ام کیو ال سفارشتو بده یکی برات بزنه
چند روزه منتظری؟"
مرسی ❤,خواهش میکنم ❤️
"چت جی پی تی 
بگ  تمرین بفرسته ولی جواب نگه
تو حل کن جواب بفرس واسش
بگو چک کنه",مرسی ❤
"سلام ببخشید تمرین با جوابی که برای کدنویسی پایتون باشع که تمرین بکنم جایی سراغ ندارید ؟
من ۱۹ تا قسمت پایتونو تو یوتوب دیدم میخام یاد بگیرم","چت جی پی تی 
بگ  تمرین بفرسته ولی جواب نگه
تو حل کن جواب بفرس واسش
بگو چک کنه"
,"ادرس دهیت مشکل داره
دوتا \\ باید بذاری"
,پشت استرینگ ادرس یک r بذارین یا از دو تا \\ استفاده کنین
"درود

نیازمند برنامه نویس پایتون برای ربات تلگرام هستیم
جهت اطلاعات بیشتر پیوی پیام ارسال کنید",بفرمایید
pip uninstall اسم پکیج,🙏
میخوام پیدا کنی برام توی چنلا پول ندارم بخرم,شرمنده
میتونم برات بزنم,میخوام پیدا کنی برام توی چنلا پول ندارم بخرم
تلگرام,میتونم برات بزنم
واسه کجا,تلگرام
کسی سورس سندر داره؟,واسه کجا
ازکتابخونه پایتون چیزی دانلود کنیم چطور حذف کنیم اصلا حذف میشه,pip uninstall اسم پکیج
بله,بفرمایید پیوی
میخاید آموزش بدم بهتون,بله
برای اموزش پایتون و ساختن سندر تلگرام باید از کجا اموزش دید؟,میخاید آموزش بدم بهتون
تیکت دادن میتونه کمکت کنه,هیچ کمکی نمیکنه بیخوده
"رفیق من افسوس می خورم برای نگارش دوتاتون 
لهجه اینطوری نوشته میشه
نه لحجه


واقعا نگارش فارسی ربطی به برنامه نویس شدن نداره ولی من بعد از 20 سال توی سطح بالا برنامه نویسی کردن میگم 

کسی که این وضعشه برنامه نویس نمیشه.",چه ربطی دارن بهم دیگه؟
"سلام ، میخوام یک مترجم دستی بسازم
میخوام یک زبان رو به فارسی ترجمه کنه و یا برعکس
مثلا زبان لری ، مازنی ، ترکی و.. به فارسی ترجمه بشه ، چجوری باید اینو بسازم؟",این‌هایی که نام بردید گویش و لحجه هستند و زبان محسوب نمیشه دستور زبانی ندارند
سلام دوستان اینجا کسی هست که فرانت اند باشه؟,چطور مگ
دوستان کسی جزوه پایتون جادی رو داره ؟,منم دنبالشم ولی پیدا نکردم دوستان اگه دارید میتونید بفرستید ممنون میشم
اکستنشن پایتون بنصب,همین پایتون میخوام نصب کنم نمیشه
سلام کسی میدونه این مشکلش چیه؟ میخوام پایتون نصب کنم نمیشه؟ این پیام میاد؟,اکستنشن پایتون بنصب
"کسی هست راه حل تضمینی براش داشته باشه؟
@his_bye

لطفا بهم بگیدد

+ورودی اکسپلور پیج بن شده🤦‍♂
+ لایومم بن شده به مدت یکسال🤦‍♂",دلایلشو ببین ک چرا بن شده
"کسی هست راه حل تضمینی براش داشته باشه؟
@his_bye

لطفا بهم بگیدد

+ورودی اکسپلور پیج بن شده🤦‍♂
+ لایومم بن شده به مدت یکسال🤦‍♂",تیکت دادن میتونه کمکت کنه
"ترجمه تمرین felipe's taqueria هفته 3
#ترجمه","قیمت baja taco  اشتباهه
اینه 4.25"
"```text = input(""Enter a text: "")
char_count = {}

for char in text:
    if char in char_count:
        char_count[char] += 1
    else:
        char_count[char] = 1

print(""Character counts:"")
for char, count in char_count.items():
    print(f""Character '{char}' count = {count}"")```",🙏سپاسگزارم
من 3 ماه لب تاب گرفتم فقط دوره ای سی دی ال گذراندم,"باید دوره نتورک پلاس ببینی
بعدش این که خریدیو ببین 
متوجه میشی چخبره"
خودت چی بلدی؟,من 3 ماه لب تاب گرفتم فقط دوره ای سی دی ال گذراندم
ازش پرسیدم گفت پیش نیازی نداره ولی حرفاش اصلن متوجه نمیشم خیلیلیاشو,خودت چی بلدی؟
سلام  کسی می‌تونه مشخصات کسی ک توی اینستگرام مزاحم شده رو در بیاره,پی
معمولا توی قسمت مقدمه پیش نیاز هارو میگن,ازش پرسیدم گفت پیش نیازی نداره ولی حرفاش اصلن متوجه نمیشم خیلیلیاشو
سلام دوستان من دوره ceh هک و امنیت خریدم ولی اصلن متوجه نمیشم  چه پیش نیازی داره ؟ عکس سر فصل هاشو فرستادم,معمولا توی قسمت مقدمه پیش نیاز هارو میگن
"برنامه ای که تعدادتکرارهرکاراکتر بنویسه  چه جوری بنویسم راهنمایی میکنید
مثلا تعدادکاراکترt=2
تعدادکاراکترr=r
این شکلی","```text = input(""Enter a text: "")
char_count = {}

for char in text:
    if char in char_count:
        char_count[char] += 1
    else:
        char_count[char] = 1

print(""Character counts:"")
for char, count in char_count.items():
    print(f""Character '{char}' count = {count}"")```"
